Track name,Artist name,Album,Playlist name,Type,ISRC
"I'm So Lonesome I Could Cry - Single Version","Hank Williams","The Complete Hank Williams","Country","Playlist","USPR34900126"
"Hurt","Johnny Cash","American IV: The Man Comes Around","Country","Playlist","USDJ20200650"
"Folsom Prison Blues","Johnny Cash","Johnny Cash at Sun","Country","Playlist","USSE60070036"
"I Walk The Line - Single Version","Johnny Cash","Classic Country Gold","Country","Playlist","USSE60070039"
"Crazy","Patsy Cline","Golden Hits forever V3","Country","Playlist","UST7W0902930"
"Wichita Lineman - Remastered 2001","Glen Campbell","Wichita Lineman (Remastered)","Country","Playlist","USCN10100759"
"Ring Of Fire - Single Version","Johnny Cash","An Introduction to Johnny Cash","Country","Playlist","USSM16301167"
"Jolene","Dolly Parton","Jolene (Expanded Edition)","Country","Playlist","USRN19600096"
"All I Have to Do Is Dream - Single Version; 2006 Remaster","The Everly Brothers","Definitive Pop: The Everly Brothers","Country","Playlist","USWB10603361"
"Cathy's Clown - Single Version; 2006 Remaster","The Everly Brothers","Definitive Pop: The Everly Brothers","Country","Playlist","USWB10603365"
"Stand By Your Man","Tammy Wynette","Stand By Your Man: The Very Best Of Tammy Wynette","Country","Playlist","USSM16800465"
"Blue Yodel #1 (t For Texas)","Jimmie Rodgers","The Very Best Of","Country","Playlist","USA560909153"
"Jesus, Etc.","Wilco","Yankee Hotel Foxtrot","Country","Playlist","USNO10166907"
"Blue Moon Of Kentucky - Original","Bill Monroe","Bill Monroe Selected Favorites, Vol. 1","Country","Playlist","USA371323521"
"I Fall To Pieces - Single Version","Patsy Cline","Sweet Dreams: Her Complete Decca Masters (1960-1963)","Country","Playlist","USMC16048707"
"He Stopped Loving Her Today - Single Version","George Jones","Discover George Jones","Country","Playlist","USSM18000509"
"Coal Miner's Daughter - Single Version","Loretta Lynn","Coal Miner's Daughter","Country","Playlist","USMC16946205"
"Wildwood Flower","A. P. Carter","The Carter Family 1927 - 1934 Disc A","Country","Playlist","USA560688394"
"Your Cheatin' Heart - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR35202092"
"It Wasn't God Who Made Honky Tonk Angels","Kitty Wells","The Collection","Country","Playlist","USMC15282830"
"Can the Circle Be Unbroken","The Carter Family","Can The Circle Be Unbroken: Country Music's First Family","Country","Playlist","USSM19926871"
"Mama Tried - Remastered 2001","Merle Haggard & The Strangers","Mama Tried","Country","Playlist","USCN10100724"
"Sixteen Tons","Tennessee Ernie Ford","Melodies, Mambos, Waltzes & Memories: The First 75 British No. 1 Hits 1950-1957","Country","Playlist","GBSUW0702061"
"King Of The Road","Roger Miller","Mad Men: A Musical Companion (1960-1965)","Country","Playlist","USPR36407083"
"Walkin' After Midnight","Patsy Cline","Platinum Masters","Country","Playlist","USXTN1095725"
"Cold, Cold Heart - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR35000127"
"Not Dark Yet","Bob Dylan","Time Out Of Mind","Country","Playlist","USSM19701400"
"Pancho and Lefty","Townes Van Zandt","Legend, Vol. 1","Country","Playlist","GBAWA0518517"
"Lovesick Blues - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR39400690"
"El Paso","Marty Robbins","Gunfighter Ballads And Trail Songs","Country","Playlist","USSM15901202"
"I Will Always Love You","Dolly Parton","Jolene (Expanded Edition)","Country","Playlist","USRN17300007"
"Slow Burn","Kacey Musgraves","Golden Hour","Country","Playlist","USUM71800128"
"Return of the Grievous Angel - 2006 Remaster","Gram Parsons","Grievous Angel","Country","Playlist","USRE10700769"
"Blue Eyes Crying in the Rain","Willie Nelson","Red Headed Stranger","Country","Playlist","USSM17500646"
"Motion Sickness","Phoebe Bridgers","Stranger in the Alps","Country","Playlist","USJ5G1714202"
"I See A Darkness","Bonnie Prince Billy","I See A Darkness","Country","Playlist","GBCEL9900003"
"I'm Sorry","Brenda Lee","I'm Sorry ! (Remastered)","Country","Playlist","GBBXS1156997"
"Coat of Many Colors","Dolly Parton","Coat Of Many Colors","Country","Playlist","USRN17100007"
"Foggy Mountain Breakdown","Lester Flatt & Earl Scruggs And The Stanley Brothers","Lester Flatt & Earl Scruggs And The Stanley Brothers Selected Sides 1947 - 1953","Country","Playlist","USA560578376"
"Back In the Saddle Again","Gene Autry","Sleepless In Seattle: Original Motion Picture Soundtrack","Country","Playlist","USSM10002350"
"I Want to Be a Cowboy's Sweetheart","Patsy Montana & The Prairie Ramblers","100 Western Swing Hits, Part 1","Country","Playlist","NLG620447999"
"Wabash Cannonball","Roy Acuff","The Essential Roy Acuff","Country","Playlist","USSM14700251"
"By The Time I Get To Phoenix - Remastered 2001","Glen Campbell","By The Time I Get To Phoenix (Remastered)","Country","Playlist","USCN10100677"
"I'll Never Get Out of This World Alive","Hank Williams","Hank Williams, Vol. 3","Country","Playlist","FR6V80071313"
"You Are My Sunshine","Jimmie Davis","10 X Governor Jimmie Davis-EP","Country","Playlist","GBGQH0907567"
"Tumbling Tumbleweeds","Sons of the Pioneers","Boots, Buckles & Spurs - 50 Songs Celebrate 50 Years of Cowboy Tradition","Country","Playlist","USRN10400300"
"Crazy Arms","Ray Price","Platinum Masters","Country","Playlist","USXTN1095783"
"Sam Stone","John Prine","John Prine","Country","Playlist","USAT20104799"
"It's Only Make Believe","Conway Twitty","Teen Idols - Oldies But Goodies","Country","Playlist","USX7N0909853"
"Rank Stranger","The Stanley Brothers","Sacred Songs From The Hills","Country","Playlist","GBJUT1003625"
"Mule Skinner Blues","Bill Monroe & His Blue Grass Boys","This is Bill Monroe","Country","Playlist","SEWDL0313114"
"Little Lion Man","Mumford & Sons","Sigh No More","Country","Playlist","GBUM70909097"
"New San Antonio Rose","Bob Wills & His Texas Playboys","American Roots Music (Remastered)","Country","Playlist","GBCJQ8802252"
"Car Wheels On A Gravel Road","Lucinda Williams","Car Wheels On A Gravel Road (Deluxe Edition)","Country","Playlist","USMR19889007"
"Keep On The Sunny Side","The Carter Family","The Best Of Bob Dylan's Theme Time Radio Hour","Country","Playlist","USA560824896"
