Track name,Artist name,Album,Playlist name,Type,ISRC
"Paper Planes","M.I.A.","Kala (Expanded)","Hip Hop","Playlist","GBBKS0700215"
"The Message (feat. Melle Mel & Duke Bootee)","Grandmaster Flash & The Furious Five","The Message","Hip Hop","Playlist","USRH10404916"
"Get Ur Freak On","Missy Elliott","Miss E... So Addictive","Hip Hop","Playlist","USEW20100037"
"Loser","Beck","Mellow Gold","Hip Hop","Playlist","USGF19463401"
"Fight The Power","Public Enemy","Fear Of A Black Planet","Hip Hop","Playlist","USDJ29000034"
"Alright","Kendrick Lamar","To Pimp A Butterfly","Hip Hop","Playlist","USUM71502498"
"99 Problems","JAY-Z","The Black Album (Explicit)","Hip Hop","Playlist","USDJ20301460"
"Formation","Beyoncé","Lemonade","Hip Hop","Playlist","USSM11603186"
"Runaway","Kanye West","My Beautiful Dark Twisted Fantasy","Hip Hop","Playlist","USUM71027402"
"Rapper's Delight - Long Version","The Sugarhill Gang","The Message: The Roots of Rap","Hip Hop","Playlist","GBAJE0612653"
"Walk This Way (feat. Aerosmith)","Run–D.M.C.","Raising Hell","Hip Hop","Playlist","USAR19900334"
"Empire State Of Mind [Jay-Z + Alicia Keys]","JAY-Z","The Blueprint 3","Hip Hop","Playlist","USJZ10900031"
"Nuthin' But A ""G"" Thang","Dr. Dre","The Chronic","Hip Hop","Playlist","USKO10403560"
"Ms. Jackson","Outkast","Stankonia","Hip Hop","Playlist","USLF20000357"
"This Is America","Childish Gambino","This Is America","Hip Hop","Playlist","USRC11801773"
"Planet Rock","Afrika Bambaataa","Planet Rock / Planet Rock [Instrumental] [Digital 45]","Hip Hop","Playlist","USRH10802800"
"Bad Girls","M.I.A.","Bad Girls","Hip Hop","Playlist","USUG11200143"
"Sabotage - 2009 Digital Remaster","Beastie Boys","Ill Communication (Deluxe Version) [Remastered]","Hip Hop","Playlist","USCA20901511"
"Lose Yourself - Soundtrack Version","Eminem","Lose Yourself (International Version)","Hip Hop","Playlist","USIR10211559"
"212","Azealia Banks","Broke With Expensive Taste","Hip Hop","Playlist","US5Z51400584"
"B.O.B. - Bombs Over Baghdad","Outkast","Stankonia","Hip Hop","Playlist","USLF20000442"
"Gold Digger","Kanye West","Late Registration","Hip Hop","Playlist","USUM70500143"
"Jesus Walks","Kanye West","The College Dropout (Explicit)","Hip Hop","Playlist","USDJ20400014"
"Stan","Eminem","The Marshall Mathers LP (Explicit Version)","Hip Hop","Playlist","USIR10001280"
"Bring The Noise","Public Enemy","It Takes A Nation Of Millions To Hold Us Back","Hip Hop","Playlist","USDJ28800014"
"Bodak Yellow","Cardi B","Invasion of Privacy","Hip Hop","Playlist","USAT21701762"
"HUMBLE.","Kendrick Lamar","DAMN.","Hip Hop","Playlist","USUM71703085"
"King Kunta","Kendrick Lamar","To Pimp A Butterfly","Hip Hop","Playlist","USUM71502494"
"Fight For Your Right","Beastie Boys","Licensed To Ill","Hip Hop","Playlist","USDJ28600007"
"My Name Is","Eminem","The Slim Shady LP (Explicit)","Hip Hop","Playlist","USIR19902059"
"Straight Outta Compton","N.W.A.","Straight Outta Compton","Hip Hop","Playlist","USPO10000872"
"Paid In Full","Eric B. & Rakim","Paid In Full","Hip Hop","Playlist","USIR28700020"
"I Know There's Gonna Be (Good Times)","Jamie xx","In Colour","Hip Hop","Playlist","UK7MC1500009"
"Yonkers","Tyler, The Creator","Goblin","Hip Hop","Playlist","GBBKS1100005"
"Fuck Tha Police","N.W.A.","Straight Outta Compton (2002 - Remaster)","Hip Hop","Playlist","USPO10000873"
"The Seed (2.0)","The Roots","Phrenology (UK edition with 1 bonus track)","Hip Hop","Playlist","USMC10201424"
"Clint Eastwood","Gorillaz","Gorillaz","Hip Hop","Playlist","GBAYE0001408"
"Juice","Lizzo","Cuz I Love You","Hip Hop","Playlist","USAT21813044"
"DNA.","Kendrick Lamar","DAMN.","Hip Hop","Playlist","USUM71703079"
"Work It","Missy Elliott","Under Construction","Hip Hop","Playlist","USEE10240730"
"Juicy - 2005 Remaster","The Notorious B.I.G.","Ready to Die (The Remaster)","Hip Hop","Playlist","USBB40580814"
"Old Town Road - Remix","Lil Nas X","7 EP","Hip Hop","Playlist","USSM11902498"
"California Love","2Pac","Hip-Hop - West Coast All Stars","Hip Hop","Playlist","SEWDL6001459"
"Tightrope (feat. Big Boi) - Big Boi Vocal Edit","Janelle Monáe","The ArchAndroid","Hip Hop","Playlist","USBB41000024"
"Push It","Salt-N-Pepa","Girls' Night Out","Hip Hop","Playlist","USIR20180482"
"White Lines (Don't Don't Do It) - Long Version","Grandmaster Flash","The Sugar Hill Records Story","Hip Hop","Playlist","USRH10903053"
"Doo Wop (That Thing)","Ms. Lauryn Hill","The Miseducation of Lauryn Hill","Hip Hop","Playlist","USSM19802337"
"Me Myself And I","De La Soul","Smooth Hip-Hop, Vol. 2","Hip Hop","Playlist","FR8GV1847460"
"Ni**as In Paris","JAY-Z","Watch The Throne (Deluxe)","Hip Hop","Playlist","USUM71111621"
"It Takes Two","Rob Base & DJ EZ Rock","Profilin': The Hits","Hip Hop","Playlist","USAR19900063"
"Drop It Like It's Hot","Snoop Dogg","R&G (Rhythm & Gangsta): The Masterpiece [Explicit Version]","Hip Hop","Playlist","USMC10400640"
"Rebel Without A Pause","Public Enemy","It Takes A Nation Of Millions To Hold Us Back","Hip Hop","Playlist","USDJ28800026"
"Don't Believe The Hype","Public Enemy","It Takes A Nation Of Millions To Hold Us Back","Hip Hop","Playlist","USDJ28800015"
"Fix Up, Look Sharp","Dizzee Rascal","Boy In Da Corner","Hip Hop","Playlist","GBBKS0300051"
"A Milli","Lil Wayne","Tha Carter III","Hip Hop","Playlist","USCM50800553"
"No Diggity","Blackstreet","No Diggity: The Very Best Of Blackstreet","Hip Hop","Playlist","USIR19600978"
"Monster","Kanye West","My Beautiful Dark Twisted Fantasy","Hip Hop","Playlist","USUM71026158"
"In Da Club","50 Cent","Get Rich Or Die Tryin'","Hip Hop","Playlist","USIR10300033"
"Mask Off (feat. Kendrick Lamar) - Remix","Future","FUTURE","Hip Hop","Playlist","USSM11704884"
"Galang","M.I.A.","Arular","Hip Hop","Playlist","GBBKS0462413"
"The Real Slim Shady","Eminem","The Marshall Mathers LP (Explicit Version)","Hip Hop","Playlist","USIR10000448"
"Feel Good Inc.","Gorillaz","Demon Days","Hip Hop","Playlist","GBAYE0500172"
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Hip Hop","Playlist","USRC19300133"
"Mind Playing Tricks On Me","Geto Boys","Rap A Lot Greatest Hits","Hip Hop","Playlist","USZXT1019221"
"Super Bass","Nicki Minaj","Pink Friday","Hip Hop","Playlist","USCM51000734"
"It's Like That","Run–D.M.C.","RUN-DMC (Expanded Edition)","Hip Hop","Playlist","USAR18400004"
"What You Know","T.I.","King","Hip Hop","Playlist","USAT20610124"
"Int'l Players Anthem (I Choose You)","UGK","UGK (Underground Kingz)","Hip Hop","Playlist","USJI10700217"
"Buffalo Stance","Neneh Cherry","Raw Like Sushi","Hip Hop","Playlist","GBAAA8800048"
"SICKO MODE","Travis Scott","ASTROWORLD","Hip Hop","Playlist","USSM11806660"
"Izzo (H.O.V.A.)","JAY-Z","The Hits Collection Volume One (Deluxe)","Hip Hop","Playlist","USDJ20110688"
"Gin And Juice (feat. Dat Nigga Daz)","Snoop Dogg","Doggystyle","Hip Hop","Playlist","USKO10403590"
"I Like It","Cardi B","Invasion of Privacy","Hip Hop","Playlist","USAT21801431"
"It Was A Good Day","Ice Cube","The Essentials","Hip Hop","Playlist","USPO19250006"
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Hip Hop","Playlist","USRC19305620"
"The Adventures Of Grandmaster Flash On The Wheels Of Steel","Grandmaster Flash & The Furious Five","The Best Of Grandmaster Flash & Sugar Hill","Hip Hop","Playlist","GBAJE0401773"
