Track name,Artist name,Album,Playlist name,Type,ISRC
"Respect","Aretha Franklin","I Never Loved a Man the Way I Love You","R&B","Playlist","USAT20801240"
"What's Going On","Marvin Gaye","What's Going On (Ecopac Remastered)","R&B","Playlist","USMO17100041"
"I Heard It Through The Grapevine","Marvin Gaye","I Heard It Through The Grapevine / In The Groove (Stereo)","R&B","Playlist","USMO16884718"
"Billie Jean","Michael Jackson","Thriller 25 Super Deluxe Edition","R&B","Playlist","USSM19902991"
"(Sittin' On) the Dock of the Bay","Otis Redding","The Dock of the Bay","R&B","Playlist","USAT29900865"
"Hey Ya! - Radio Mix / Club Mix","Outkast","Speakerboxxx/The Love Below","R&B","Playlist","USAR10300924"
"What'd I Say","Ray Charles","Ray Charles & Friends","R&B","Playlist","USA560678137"
"A Change Is Gonna Come","Sam Cooke","Ain't That Good News (Remastered)","R&B","Playlist","USA176420220"
"Superstition","Stevie Wonder","Talking Book (Reissue)","R&B","Playlist","USMO17200984"
"Crazy In Love (feat. Jay-Z)","Beyoncé","Dangerously In Love","R&B","Playlist","USSM10305425"
"Louie Louie","The Kingsmen","The Best of The Kingsmen","R&B","Playlist","USA370544298"
"I Want You Back","The Jackson 5","Diana Ross Presents The Jackson 5","R&B","Playlist","USMO19400306"
"Crazy","Gnarls Barkley","St. Elsewhere","R&B","Playlist","GBAHT0600202"
"Stand By Me","Ben E. King","Don't Play That Song","R&B","Playlist","USAT20000556"
"River Deep - Mountain High","Ike & Tina Turner","River Deep Mountain High","R&B","Playlist","USAM10200063"
"House of the Rising Sun","The Animals","Most of the Animals","R&B","Playlist","GBAYE6400209"
"Let's Stay Together","Al Green","Let's Stay Together","R&B","Playlist","GBAFR7100001"
"Dancing In The Street","Martha Reeves & The Vandellas","Golden Moments","R&B","Playlist","USMO16400446"
"Reach Out I'll Be There - Single Version / Mono","Four Tops","The Ultimate Collection: Four Tops","R&B","Playlist","USMO16700445"
"Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2","James Brown","The Singles Vol. 7: 1970-1972","R&B","Playlist","USF067025050"
"The Tracks Of My Tears - Single Version / Mono","Smokey Robinson & The Miracles","Stevie Wonder/ Jimmy Ruffin/ Smokey Robinson & The Miracles","R&B","Playlist","USMO16500449"
"Pyramids","Frank Ocean","channel ORANGE (Explicit Version)","R&B","Playlist","USUM71207185"
"My Girl - Single Version/Mono","The Temptations","Motown Essentials","R&B","Playlist","USMO10111043"
"Rehab","Amy Winehouse","Back To Black","R&B","Playlist","GBUM70603730"
"Papa's Got A Brand New Bag - Pt. 1","James Brown","Cool - Funk","R&B","Playlist","USF066500020"
"Green Onions","Booker T. & the M.G.'s","Green Onions / Behave Yourself","R&B","Playlist","USAT20902287"
"Umbrella","Rihanna","Good Girl Gone Bad: Reloaded","R&B","Playlist","USUM70736771"
"Will You Still Love Me Tomorrow","The Shirelles","Valentine The Dolls","R&B","Playlist","GBLGL0803474"
"Hotline Bling","Drake","Hotline Bling","R&B","Playlist","USCM51500238"
"When a Man Loves a Woman","Percy Sledge","When a Man Loves a Woman","R&B","Playlist","USAT29902050"
"Cranes in the Sky","Solange","A Seat at the Table","R&B","Playlist","USSM11607807"
"Purple Rain","Prince","Purple Rain","R&B","Playlist","USWB10001880"
"Kiss","Prince","Parade - Music from the Motion Picture Under the Cherry Moon","R&B","Playlist","USWB19903319"
"Little Red Corvette","Prince","1999","R&B","Playlist","USWB10003038"
"Family Affair - Single Version","Sly & The Family Stone","There's A Riot Goin' On (Expanded Edition)","R&B","Playlist","USSM17100398"
"Walk on By","Dionne Warwick","Sings Burt Bacharach","R&B","Playlist","SEWDL0206404"
"Sign 'O' the Times - Single Version","Prince","The Very Best of Prince","R&B","Playlist","USWB19901187"
"Blueberry Hill","Fats Domino","The Best Of Fats Domino","R&B","Playlist","USEM38700119"
"Bo Diddley","Bo Diddley","Bo Diddley + Go Bo Diddley","R&B","Playlist","USA371150838"
"People Get Ready - Single Version","The Impressions","Curtis Mayfield & The Impressions - Universal Masters","R&B","Playlist","USMC16445382"
"Two Weeks","FKA twigs","LP1","R&B","Playlist","GBBKS1400227"
"Papa Was A Rollin' Stone - Single Version","The Temptations","Motown 50","R&B","Playlist","USMO17200080"
"Rolling in the Deep","Adele","21","R&B","Playlist","GBBKS1000335"
"Living For The City","Stevie Wonder","Innervisions (Reissue)","R&B","Playlist","USMO17382638"
"Gloria (feat. Van Morrison) - Mono Version","Them","The ""Angry"" Young Them! (feat. Van Morrison)","R&B","Playlist","USQX91501412"
"Try A Little Tenderness","Otis Redding","Stax-Volt: The Complete Singles 1959-1968","R&B","Playlist","USAT29902035"
"You Send Me","Sam Cooke","Portrait of a Legend (Remastered)","R&B","Playlist","USA175720010"
"In the Midnight Hour","Wilson Pickett","In the Midnight Hour","R&B","Playlist","USAT29902205"
"I Got You (I Feel Good)","James Brown","Golden Moments","R&B","Playlist","USF066500010"
"Let's Get It On","Marvin Gaye","Let's Get It On (Ecopac Remastered)","R&B","Playlist","USMO17300037"
"Don't Worry Baby (Mono)","The Beach Boys","Shut Down, Vol. 2 (Mono & Stereo)","R&B","Playlist","USCA21202016"
"Why Do Fools Fall In Love","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers","R&B","Playlist","USA370933040"
"Son Of A Preacher Man","Dusty Springfield","Dusty In Memphis","R&B","Playlist","GBF086800754"
"Thinkin Bout You","Frank Ocean","channel ORANGE","R&B","Playlist","USUM71202995"
"Sexual Healing","Marvin Gaye","Midnight Love","R&B","Playlist","USSM19803028"
"Theme From Shaft","Isaac Hayes","Shaft","R&B","Playlist","USFI87100050"
"Shake, Rattle and Roll","Big Joe Turner","Shake Rattle & Rock","R&B","Playlist","USAT29901885"
"Stop! In The Name Of Love","The Supremes","Motown 50","R&B","Playlist","USMO16582625"
"Where Did Our Love Go - Stereo Version","The Supremes","Where Did Our Love Go: 40th Anniversary Edition","R&B","Playlist","USMO19290049"
"(Your Love Keeps Lifting Me) Higher and Higher","Jackie Wilson","Six Pack - Jackie Wilson - EP","R&B","Playlist","SEWDL9960912"
"Gimme Some Lovin' - Single Mix","The Spencer Davis Group","Keep On Running","R&B","Playlist","GBAAN6600008"
"I Can't Explain - Original Mono Version","The Who","Greatest Hits","R&B","Playlist","GBAKW6500001"
"Move on Up - Extended Version","Curtis Mayfield","Curtis (Expanded Edition)","R&B","Playlist","USRH10401528"
"I Can't Stand The Rain","Ann Peebles","I Can't Stand The Rain","R&B","Playlist","GBAFR7310002"
"I Say a Little Prayer","Aretha Franklin","Aretha Now","R&B","Playlist","USAT20801207"
"Georgia On My Mind","Ray Charles","Georgia On My Mind","R&B","Playlist","FR6V81229416"
"Rocket 88 - Single Version","Jackie Brenston & His Delta Cats","Chess Pieces: The Very Best Of Chess Records","R&B","Playlist","USMC15146822"
"Work","Rihanna","ANTI","R&B","Playlist","QM5FT1600116"
"I've Been Loving You Too Long","Otis Redding","Otis Blue: Otis Redding Sings Soul (Collector's Edition)","R&B","Playlist","USAT20800912"
"Long Tall Sally","Little Richard","The Essential Little Richard (Remastered)","R&B","Playlist","USSPI5600009"
"I Put a Spell on You","Screamin' Jay Hawkins","R&B: From Doo-Wop To Hip-Hop","R&B","Playlist","USSM15600404"
"1999","Prince","1999","R&B","Playlist","USWB18200028"
"One Nation Under A Groove","Funkadelic","The Best Of Funkadelic, 1976 - 1981","R&B","Playlist","GBAWA0518717"
"I Will Survive - Single Version","Gloria Gaynor","Music For Seventies","R&B","Playlist","USPR37800083"
"In The Still Of The Nite","The Five Satins","75 Slices Of Hot, Cool, Mellow & Rockin' Harmony","R&B","Playlist","GBSUW0721437"
"There Goes My Baby - Single Version; 2019 Remaster","The Drifters","Definitive Soul: The Drifters","R&B","Playlist","USAT20302312"
"You Really Got A Hold On Me","The Miracles","Motown Essentials","R&B","Playlist","USUMG0000250"
"Dance to the Music","Sly & The Family Stone","Dance To The Music","R&B","Playlist","USSM19602683"
"I've Got a Woman","Ray Charles","Ray Charles (aka: Hallelujah, I Love Her So)","R&B","Playlist","USAT29902160"
"Midnight Train to Georgia","Gladys Knight & The Pips","The Way We Were: The Best Of Gladys Knight & The Pips","R&B","Playlist","USBR17300001"
"No Scrubs","TLC","Fanmail","R&B","Playlist","USLF29900479"
"Ultralight Beam","Kanye West","The Life Of Pablo","R&B","Playlist","USUM71603065"
"Ignition - Remix","R. Kelly","Chocolate Factory","R&B","Playlist","USJI10300018"
"I Only Have Eyes For You","The Flamingos","Doo Wop Classics Vol. 7","R&B","Playlist","GBGQH0602147"
"Make Me Feel","Janelle Monáe","Dirty Computer","R&B","Playlist","USAT21800745"
"Milkshake","Kelis","Tasty","R&B","Playlist","USAR10301131"
"Zombie","Fela Kuti","Zombie","R&B","Playlist","USME30902163"
"It's A Man's Man's Man's World","James Brown","James Brown Hit Pac - 5 Series","R&B","Playlist","USUR10300969"
"Young Americans - 2007 Remaster","David Bowie","Young Americans (2007 Remaster)","R&B","Playlist","USJT10500042"
"The Seed (2.0)","The Roots","Phrenology (UK edition with 1 bonus track)","R&B","Playlist","USMC10201424"
"Nights","Frank Ocean","Blonde","R&B","Playlist","QZ5C81600009"
"Tired Of Being Alone","Al Green","Gets Next to You","R&B","Playlist","GBAFR7110001"
"Cry Me a River","Justin Timberlake","Justified","R&B","Playlist","USJI10200366"
"Thank You (Falettinme Be Mice Elf Agin) - Single Version","Sly & The Family Stone","The Essential Sly & The Family Stone","R&B","Playlist","USSM19901657"
"You Can't Hurry Love","The Supremes","Anthology","R&B","Playlist","USMO16682603"
"Shout, Pts. 1 & 2","The Isley Brothers","It's Your Thing: The Story Of The Isley Brothers","R&B","Playlist","USRC15903415"
"Hound Dog","Big Mama Thornton","Tom Waits' Jukebox","R&B","Playlist","USA560824515"
"Ain't No Sunshine","Bill Withers","Just As I Am","R&B","Playlist","USSM10000372"
"Juice","Lizzo","Cuz I Love You","R&B","Playlist","USAT21813044"
"The Twist","Chubby Checker","The Best Of Chubby Checker 1959-1963","R&B","Playlist","USA176040010"
"Who Do You Love - Single Version","Bo Diddley","Rock N' Roll Legends (International Version)","R&B","Playlist","USMC15646830"
"War","Edwin Starr","War And Peace","R&B","Playlist","USMO17000050"
"I Never Loved a Man (The Way I Love You)","Aretha Franklin","I Never Loved a Man the Way I Love You","R&B","Playlist","USAT20801241"
"Ain't That A Shame","Fats Domino","The Best Of Fats Domino","R&B","Playlist","USEM38700044"
"thank u, next","Ariana Grande","thank u, next","R&B","Playlist","USUM71819361"
"Chain of Fools","Aretha Franklin","Lady Soul (With Bonus Selections)","R&B","Playlist","USAT20801215"
"Higher Ground","Stevie Wonder","Innervisions (Reissue)","R&B","Playlist","USMO17382652"
"MALAMENTE - Cap.1: Augurio","ROSALÍA","El Mal Querer","R&B","Playlist","ES5021800275"
"Everyday People","Sly & The Family Stone","Stand","R&B","Playlist","USSM19913826"
"Soul Man","Sam & Dave","Soul Men","R&B","Playlist","USAT20001065"
"Waterfalls","TLC","Crazysexycool","R&B","Playlist","USLF29400133"
"Everything Is Embarrassing","Sky Ferreira","Ghost","R&B","Playlist","USCA21202535"
"Earth Angel (Will You Be Mine)","The Penguins","Doo Wop Delights - The Best of the Penguins","R&B","Playlist","GB8XC1042486"
"Killing Me Softly With His Song","Roberta Flack","Rhino Hi-Five: Roberta Flack","R&B","Playlist","USAT29901394"
"Back To Life (However Do You Want Me) [feat. Caron Wheeler] - 2003 Remastered Version","Soul II Soul","Playlist: Dance","R&B","Playlist","GBAAA0300123"
"Yakety Yak","The Coasters","Rhino Hi-Five: The Coasters","R&B","Playlist","USAT20102479"
"Tightrope (feat. Big Boi) - Big Boi Vocal Edit","Janelle Monáe","The ArchAndroid","R&B","Playlist","USBB41000024"
"Retrograde","James Blake","Overgrown","R&B","Playlist","GBUM71300788"
"At Last - Single Version","Etta James","At Last!","R&B","Playlist","USMC16046323"
"Losing You","Solange","Losing You","R&B","Playlist","USME31201577"
"Hold On, We're Going Home","Drake","Nothing Was The Same (Deluxe)","R&B","Playlist","USCM51300762"
"Love To Love You Baby","Donna Summer","On The Radio: Greatest Hits Volumes I & II","R&B","Playlist","USWWW0125317"
"Doo Wop (That Thing)","Ms. Lauryn Hill","The Miseducation of Lauryn Hill","R&B","Playlist","USSM19802337"
"Boom Boom","John Lee Hooker","Best of The Blues","R&B","Playlist","GBGQH0601971"
"Please Mr. Postman - Single Version / Mono","The Marvelettes","Motown 50","R&B","Playlist","USMO16100266"
"The Dark End of the Street","James Carr","You Got My Mind Messed Up","R&B","Playlist","GBBHN0200264"
"How High The Moon","Les Paul","Best Of The Capitol Masters - 90th Birthday Edition","R&B","Playlist","USCA29000187"
"Inner City Blues (Make Me Wanna Holler)","Marvin Gaye","Marvin Gaye '50' (International Version)","R&B","Playlist","USMO17100049"
"My Love - Single Version","Justin Timberlake","My Love","R&B","Playlist","USJI10600894"
"Let's Spend The Night Together - Stereo Version","The Rolling Stones","Between The Buttons (Remastered)","R&B","Playlist","USA176710010"
"Band Of Gold (Single Mix)","Freda Payne","Band Of Gold","R&B","Playlist","GBBLG7000081"
"I'm A Man - Single Version","Bo Diddley","Rock N' Roll Legends (International Version)","R&B","Playlist","USMC15547010"
"1 Thing","Amerie","Touch","R&B","Playlist","USSM10500100"
"Say It Loud - I'm Black And I'm Proud","James Brown","Say It Loud - I'm Black And I'm Proud","R&B","Playlist","USPR36809005"
"Substitute - Single Version","The Who","Greatest Hits","R&B","Playlist","GBAKW6601001"
"(Love Is Like A) Heat Wave - Single Version","Martha Reeves & The Vandellas","Motown Classics Gold","R&B","Playlist","USMO16300273"
"Try Again","Aaliyah","Aaliyah","R&B","Playlist","GBJLH0511082"
"Just My Imagination (Running Away With Me)","The Temptations","Motown Celebrates Black History - Motown Hits","R&B","Playlist","USMO17190001"
"Climax","USHER","Looking 4 Myself (Deluxe Version)","R&B","Playlist","USRC11200142"
"The Revolution Will Not Be Televised","Gil Scott-Heron","Pieces Of A Man","R&B","Playlist","USBB17101029"
"The Tears Of A Clown - Single Version / Mono","Smokey Robinson & The Miracles","Motown 50","R&B","Playlist","USMO17072044"
"EARFQUAKE","Tyler, The Creator","IGOR","R&B","Playlist","USQX91901111"
"Can't Feel My Face","The Weeknd","Beauty Behind The Madness","R&B","Playlist","USUG11500741"
"Genius Of Love","Tom Tom Club","Tom Tom Club - Deluxe Edition","R&B","Playlist","GBAAN0400812"
"No Diggity","Blackstreet","No Diggity: The Very Best Of Blackstreet","R&B","Playlist","USIR19600978"
"Super Freak","Rick James","Cool - Funk","R&B","Playlist","USMO18100048"
"In the Ghetto","Elvis Presley","From Elvis In Memphis","R&B","Playlist","USRC16906016"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","Uptown Special","R&B","Playlist","GBARL1401524"
"Rock with You - Single Version","Michael Jackson","Off the Wall","R&B","Playlist","USSM17900817"
"Spanish Harlem","Ben E. King","The Complete Atco/Atlantic Singles, Vol. 1: 1960-1966","R&B","Playlist","USAT20202648"
"Lady Marmalade - Single Version","LaBelle","70s 100 Hits","R&B","Playlist","USSM19802773"
"Caught Out There","Kelis","Caught Out There","R&B","Playlist","USVI29900179"
"Back Stabbers","The O'Jays","Back Stabbers","R&B","Playlist","USSM17200040"
"Money (That's What I Want) - Single Version / Mono","Barrett Strong","True Motown / Spectrum 3 CD Set","R&B","Playlist","USMO15900265"
"Atomic Dog","George Clinton","Greatest Hits: Straight Up","R&B","Playlist","USCA20000328"
"You Keep Me Hangin' On - Album Version / Stereo","The Supremes","The Story Of The Supremes (2CD Set)","R&B","Playlist","USMO16682616"
"Only You - And You Alone","The Platters","Pin-Up Hits Collection","R&B","Playlist","GBURZ1003509"
"Mercy Mercy Me (The Ecology)","Marvin Gaye","What's Going On (Deluxe Edition)","R&B","Playlist","USMO17100046"
"Fame - 2007 Remaster","David Bowie","Young Americans (2007 Remaster)","R&B","Playlist","USJT10500049"
"My Guy - Single Version","Mary Wells","Motown 50","R&B","Playlist","USMO16400486"
"Ain't No Mountain High Enough - Stereo Version","Marvin Gaye","Marvin Gaye '50' (International Version)","R&B","Playlist","USMO16700486"
"Lucille","Little Richard","The Essential Little Richard (Remastered)","R&B","Playlist","USSPI5700005"
"Hit the Road Jack","Ray Charles","The Ray Charles Collection","R&B","Playlist","GBZTD1200754"
"Hold On, I'm Comin'","Sam & Dave","Hold On, I'm Comin'","R&B","Playlist","USAT20001059"
"The Wilhelm Scream","James Blake","James Blake","R&B","Playlist","GBUM71030822"
"Redbone","Childish Gambino","""Awaken, My Love!""","R&B","Playlist","USYAH1600107"
"If You Don't Know Me by Now (feat. Teddy Pendergrass)","Harold Melvin & The Blue Notes","The Best Of Harold Melvin & The Blue Notes: If You Don't Know Me By Now (Featuring Teddy Pendergrass) (feat. Teddy Pendergrass)","R&B","Playlist","USSM17200001"
