Track name,Artist name,Album,Playlist name,Type,ISRC
"Like a Rolling Stone","Bob Dylan","Highway 61 Revisited","Singer/Songwriter","Playlist","USSM19922509"
"Imagine - Remastered 2010","John Lennon","Imagine","Singer/Songwriter","Playlist","GBAYE1000769"
"Thunder Road","Bruce Springsteen","Born To Run","Singer/Songwriter","Playlist","USSM19904335"
"The Sound of Silence - Electric Version","Simon & Garfunkel","Sounds Of Silence","Singer/Songwriter","Playlist","USSM16401131"
"Bridge over Troubled Water","Simon & Garfunkel","Bridge Over Troubled Water (40th Anniversary Edition)","Singer/Songwriter","Playlist","USSM10103868"
"Tangled up in Blue","Bob Dylan","Blood On The Tracks","Singer/Songwriter","Playlist","USSM19906468"
"Blowin' in the Wind","Bob Dylan","The Freewheelin' Bob Dylan","Singer/Songwriter","Playlist","USSM19900534"
"Subterranean Homesick Blues","Bob Dylan","Bringing It All Back Home","Singer/Songwriter","Playlist","USSM16501028"
"The Times They Are A-Changin'","Bob Dylan","The Times They Are A-Changin'","Singer/Songwriter","Playlist","USSM10007452"
"Suzanne","Leonard Cohen","The Best Of Leonard Cohen","Singer/Songwriter","Playlist","USSM16701039"
"Heart of Gold","Neil Young","Harvest","Singer/Songwriter","Playlist","USRE19900182"
"You Oughta Know","Alanis Morissette","Jagged Little Pill","Singer/Songwriter","Playlist","USMV29900091"
"Pink Moon","Nick Drake","Pink Moon","Singer/Songwriter","Playlist","GBAAN7200021"
"American Pie","Don McLean","The Best Of Don McLean","Singer/Songwriter","Playlist","USEM38600088"
"Jolene","Dolly Parton","Jolene (Expanded Edition)","Singer/Songwriter","Playlist","USRN19600096"
"My Sweet Lord - 2001 Digital Remaster","George Harrison","All Things Must Pass","Singer/Songwriter","Playlist","GBAYE0001272"
"Hope There's Someone","Antony and the Johnsons","I Am A Bird Now","Singer/Songwriter","Playlist","US38W0510527"
"Skinny Love","Bon Iver","For Emma, Forever Ago","Singer/Songwriter","Playlist","US38Y0811503"
"Your Song","Elton John","Elton John (Remastered Version)","Singer/Songwriter","Playlist","GBAMB9500072"
"Fire and Rain","James Taylor","Sweet Baby James","Singer/Songwriter","Playlist","USWB19900191"
"Visions of Johanna","Bob Dylan","Blonde On Blonde","Singer/Songwriter","Playlist","USSM19921960"
"Cortez The Killer","Neil Young","Zuma","Singer/Songwriter","Playlist","USRE19900432"
"Famous Blue Raincoat","Leonard Cohen","Songs Of Love And Hate","Singer/Songwriter","Playlist","USSM19919473"
"Redemption Song","Bob Marley & The Wailers","Uprising","Singer/Songwriter","Playlist","USIR28000018"
"Ne me quitte pas","Jacques Brel","I Love Jacques Brel (Ses premiers succès)","Singer/Songwriter","Playlist","FR6V80893910"
"It's Too Late","Carole King","Tapestry","Singer/Songwriter","Playlist","USSM17100509"
"Desolation Row","Bob Dylan","Highway 61 Revisited","Singer/Songwriter","Playlist","USSM16501009"
"Working Class Hero - Remastered 2010","John Lennon","Plastic Ono Band","Singer/Songwriter","Playlist","GBAYE1000761"
"The River","Bruce Springsteen","The River","Singer/Songwriter","Playlist","USSM18000407"
"The Boxer","Simon & Garfunkel","The Collection","Singer/Songwriter","Playlist","USSM10103873"
"Fast Car","Tracy Chapman","Tracy Chapman","Singer/Songwriter","Playlist","USEE10180719"
"Hallelujah","Jeff Buckley","So Real: Songs From Jeff Buckley","Singer/Songwriter","Playlist","USSM19400915"
"Hallelujah","Leonard Cohen","Various Positions","Singer/Songwriter","Playlist","USSM10026643"
"Maybe I’m Amazed - Remastered 2011","Paul McCartney","McCartney (Special Edition)","Singer/Songwriter","Playlist","GBCCS1000115"
"Positively 4th Street - Single Version","Bob Dylan","Biograph (Display Box)","Singer/Songwriter","Playlist","USSM16500150"
