,artist,title,genre,URL,lyrics
0,M.I.A.,Paper Planes,Hiphop,http://azlyrics.com/lyrics/mia/paperplanes.html,"

I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait

I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait

Sometimes I think sitting on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

Sometimes I think sitting on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system

Pirate skulls and bones
Sticks and stones and weed and bombs
Running when we hit 'em
Lethal poison for the system

No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hell just pumping that gas

No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hell just pumping that gas

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

M.I.A.
Third world democracy
Yeah, I got more records than the K.G.B.
So, uh, no funny business
Are you ready all?

Some some some I some I murder
Some I some I let go
Some some some I some I murder
Some I some I let go

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money
"
1,Grandmaster Flash & The Furious Five,The Message (feat. Melle Mel & Duke Bootee),Hiphop,http://azlyrics.com/lyrics/grandmasterflashthefuriousfive/themessage.html,
2,Missy Elliott,Get Ur Freak On,Hiphop,http://azlyrics.com/lyrics/missyelliott/geturfreakon.html,
3,Beck,Loser,Hiphop,http://azlyrics.com/lyrics/beck/loser.html,"

In the time of chimpanzees
I was a monkey
Butane in my veins
And I'm out to cut the junkie
With the plastic eyeballs,
Spray-paint the vegetables
Dog food stalls with the beefcake pantyhose
Kill the headlights
And put it in neutral
Stock car flaming with a loser
And the cruise control
Baby's in Reno with the vitamin D
Got a couple of couches,
Sleep on the love seat
Someone keeps saying
I'm insane to complain
About a shotgun wedding
And a stain on my shirt
Don't believe everything that you breathe
You get a parking violation
And a maggot on your sleeve
So shave your face
With some mace in the dark
Saving all your food stamps
And burning down the trailer park

(Yo. Cut it.)
Soy un perdedor
I'm a loser baby, so why don't you kill me?

(Double-barrel buckshot)

Soy un perdedor
I'm a loser baby, so why don't you kill me?

Forces of evil in a bozo nightmare
Ban all the music with a phony gas chamber
'Cause one's got a weasel
And the other's got a flag
One's on the pole, shove the other in a bag
With the rerun shows
And the cocaine nose-job
The daytime crap of the folksinger slob
He hung himself with a guitar string
Slab of turkey-neck
And it's hanging from a pigeon wing
You can't write if you can't relate
Trade the cash for the beat
For the body for the hate
And my time is a piece of wax
Falling on a termite
Who's choking on the splinters

Soy un perdedor
I'm a loser baby, so why don't you kill me?
(Get crazy with the Cheeze Whiz)
Soy un perdedor
I'm a loser baby, so why don't you kill me?
(Drive-by body-pierce)

(Yo, bring it on down)
Soy

(I'm a driver; I'm the winner;
Things are gonna change
I can feel it)

Soy un perdedor
I'm a loser baby, so why don't you kill me?
(I can't believe you)
Soy un perdedor
I'm a loser baby, so why don't you kill me?

Soy un perdedor
I'm a loser baby, so why don't you kill me?
(Sprechen Sie Deutsch, baby?)
Soy un perdedor
I'm a loser baby, so why don't you kill me?
(Know what I'm saying?)
"
4,Public Enemy,Fight The Power,Hiphop,http://azlyrics.com/lyrics/publicenemy/fightthepower.html,"

""Yet our best trained, best educated, best equipped, best prepared troops refuse to fight. As a matter of fact, it's safe to say that they would rather switch than fight.""

1989 the number another summer (get down)
Sound of the funky drummer
Music hitting your heart cause I know you got soul
(Brothers and sisters, hey)
Listen if you're missing y'all
Swinging while I'm singin'
Giving whatcha gettin'
Knowing what I knowin'
While the Black band's sweating
And the rhythm rhymes rolling
Got to give us what we want
Gotta give us what we need
Our freedom of speech is freedom of death
We got to fight the powers that be
Lemme hear you say
Fight the power

Fight the power
We've got to fight the powers that be

As the rhythm's designed to bounce
What counts is that the rhyme's
Designed to fill your mind
Now that you've realized the pride's arrived
We got to pump the stuff to make ya tough
From the heart
It's a start, a work of art
To revolutionize make a change nothing's strange
People, people we are the same
No we're not the same
'Cause we don't know the game
What we need is awareness, we can't get careless
You say what is this?
My beloved let's get down to business
Mental self defensive fitness
(Yo) bum rush the show
You gotta go for what you know
To make everybody see, in order to fight the powers that be
Lemme hear you say
Fight the power

Fight the power
We've got to fight the powers that be

Elvis was a hero to most
But he never meant shit to me you see
Straight up racist that sucker was
Simple and plain
Motherfuck him and John Wayne
'Cause I'm Black and I'm proud
I'm ready and hyped plus I'm amped
Most of my heroes don't appear on no stamps
Sample a look back you look and find
Nothing but rednecks for 400 years if you check
Don't worry be happy
Was a number one jam
Damn if I say it you can slap me right here
(Get it) let's get this party started right
Right on, c'mon
What we got to say
Power to the people no delay
Make everybody see
In order to fight the powers that be

Fight the power
We've got to fight the powers that be
"
5,Kendrick Lamar,Alright,Hiphop,http://azlyrics.com/lyrics/kendricklamar/alright.html,"

[Kendrick Lamar:]
Alls my life, I has to fight, nigga
Alls my life, I—
Hard times like, ""Yah!""
Bad trips like, ""Yah!""
Nazareth
I'm fucked up, homie, you fucked up
But if God got us, then we gon' be alright

[Pharrell Williams:]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Kendrick Lamar:]
Uh, and when I wake up
I recognize you're looking at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down?
Schemin', and let me tell you 'bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my mamma I love her, but this what I like, Lord knows
Twenty of 'em in my Chevy, tell 'em all to come and get me
Reaping everything I sow, so my karma coming heavy
No preliminary hearings on my record
I'm a motherfucking gangster in silence for the record, uh
Tell the world I know it's too late
Boys and girls, I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say

Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street for sure
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright

[Pharrell Williams:]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Kendrick Lamar:]
What you want you, a house? You, a car?
Forty acres and a mule? A piano, a guitar?
Anything, see my name is Lucy, I'm your dog
Motherfucker, you can live at the mall
I can see the evil, I can tell it, I know it's illegal
I don't think about it, I deposit every other zero
Thinking of my partner, put the candy, paint it on the Regal
Digging in my pocket, ain't a profit big enough to feed you
Every day my logic get another dollar just to keep you
In the presence of your chico, ah!
I don't talk about it, be about it, every day I sequel
If I got it then you know you got it, Heaven, I can reach you
Pat Dawg, Pat Dawg, Pat Dawg, my dog, that's all
Bick back and Chad, I trap the bag for y'all
I rap, I black on track so rest assured
My rights, my wrongs; I write 'til I'm right with God

Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street for sure
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright

[Pharrell Williams:]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Kendrick Lamar & Thundercat:]
I keep my head up high
I cross my heart and hope to die
Lovin' me is complicated
Too afraid of a lot of changes
I'm alright, and you're a favorite
Dark nights in my prayers

[Kendrick Lamar:]
I remembered you was conflicted
Misusing your influence, sometimes I did the same
Abusing my power, full of resentment
Resentment that turned into a deep depression
Found myself screamin' in the hotel room
I didn't wanna self-destruct
The evils of Lucy was all around me
So I went runnin' for answers
"
6,JAY-Z,99 Problems,Hiphop,http://azlyrics.com/lyrics/jayz/99problems.html,"

If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one

I've got the Rap Patrol on the gat patrol
Foes that wanna make sure my casket's closed
Rap critics that say he's Money, Cash, Hoes
I'm from the hood, stupid! What type of facts are those?
If you grew up with holes in your zapatos
You'd celebrate the minute you was having dough
I'm like, ""Fuck critics, you can kiss my whole asshole
If you don't like my lyrics, you can press fast forward""
Got beef with radio if I don't play they show
They don't play my hits, well, I don't give a shit, so
Rap mags try and use my black ass
So advertisers can give 'em more cash for ads
Fuckers, I don't know what you take me as
Or understand the intelligence that Jay Z has
I'm from rags to riches, niggas, I ain't dumb
I got 99 problems, but a bitch ain't one – hit me

99 problems, but a bitch ain't one
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one – hit me

The year is '94, in my trunk is raw
In my rear-view mirror is the motherfucking law
Got two choices, y'all: pull over the car or
Bounce on the devil, put the pedal to the floor
And I ain't trying to see no highway chase with Jake
Plus I got a few dollars, I can fight the case
So I pull over to the side of the road
I heard, ""Son, do you know why I'm stopping you for?""
'Cause I'm young and I'm black and my hat's real low?
Do I look like a mind reader, sir? I don't know
Am I under arrest or should I guess some more?
""Well, you was doing 55 in a 54
License and registration and step out of the car
Are you carrying a weapon on you? I know a lot of you are""
I ain't stepping out of shit, all my paper's legit
""Well, do you mind if I look around the car a little bit?""
Well, my glove compartment is locked, so is the trunk in the back
And I know my rights, so you gon' need a warrant for that
""Aren't you sharp as a tack?
You some type of lawyer or something?
Somebody important or something?""
Well, I ain't passed the bar, but I know a little bit
Enough that you won't illegally search my shit
""Well, we'll see how smart you are when the K9 come!""
I got 99 problems, but a bitch ain't one – hit me

99 problems, but a bitch ain't one
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one – hit me
99 problems, but a bitch ain't one
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one

Now once upon a time not too long ago
A nigga like myself had to strong-arm a ho
This is not a ho in the sense of having a pussy
But a pussy having no goddamn sense, try and push me
I try to ignore him, talk to the Lord
Pray for him, but some fools just love to perform
You know the type, loud as a motorbike
But wouldn't bust a grape in a fruit fight
And only thing that's gon' happen is I'ma get to clapping
And he and his boys gonna be yapping to the Captain
And there I go, trapped in the Kit-Kat again
Back through the system with the riff-raff again
Fiends on the floor, scratching again
Paparazzis with they cameras, snapping em
D.A. try to give a nigga shaft again
Half a mil' for bail 'cause I'm African
All because this fool was harassing them
Trying to play the boy like he's saccharine
But ain't nothing sweet 'bout how I hold my gun
I got 99 problems, being a bitch ain't one – hit me

99 problems, but a bitch ain't one
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one – hit me
99 problems, but a bitch ain't one
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one – hit me
If you're having girl problems, I feel bad for you, son
I got 99 problems, but a bitch ain't one

You crazy for this one, Rick
It's your boy
"
7,Beyoncé,Formation,Hiphop,http://azlyrics.com/lyrics/beyonce/formation.html,
8,Kanye West,Runaway,Hiphop,http://azlyrics.com/lyrics/kanyewest/runaway.html,"

[Rick James and James Brown:]
Look at you, look at you, look at you, look at you
Look at you, look at you, look at you, look at you
Look at you, look at you, look at you, look at you
Look at you, look at you, look at you, look at you
(Ladies and gentlemen, ladies, ladies and gentlemen)

[Kanye West:]
And I always find, yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast

[Kanye West:]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can

[Kanye West:]
She find pictures in my e-mail
I sent this bitch a picture of my dick
I don't know what it is with females
But I'm not too good at that shit
See, I could have me a good girl
And still be addicted to them hood rats
And I just blame everything on you
At least you know that's what I'm good at

[Kanye West:]
And I always find, yeah, I always find
Yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast

[Kanye West:]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can

[Kanye West and Rick James:]
Run away from me, baby
Ah, run away
Run away from me, baby (Look at you, look at you, look at you)
Run away
When it starts to get crazy (Look at you, look at you, look at you)
Then run away
Babe, I got a plan, run away as fast as you can
Run away from me, baby
Run away
Run away from me, baby (Look at, look at, look at, look at, look at, look at, look at you)
Run away
When it starts to get crazy (Look at you, look at you, look at you, look at you)
Why can't she just run away?
Baby, I got a plan
Run away as fast as you can (Look at you, look at you, look at you)

[Pusha T:]
Twenty-four seven, three sixty-five, pussy stays on my mind
I-I-I-I did it, alright, alright, I admit it
Now pick your next move, you could leave or live with it
Ichabod Crane with that motherfuckin' top off
Split and go where? Back to wearing knock-offs?
Haha, knock it off, Neimans, shop it off
Let's talk over mai tais, waitress, top it off
Hoes like vultures, wanna fly in your Freddy loafers
You can't blame 'em, they ain't never seen Versace sofas
Every bag, every blouse, every bracelet
Comes with a price tag, baby, face it
You should leave if you can't accept the basics
Plenty hoes in the baller-nigga matrix
Invisibly set, the Rolex is faceless
I'm just young, rich, and tasteless, P

[Kanye West:]
Never was much of a romantic
I could never take the intimacy
And I know I did damage
'Cause the look in your eyes is killing me
I guess you knew of that advantage
'Cause you could blame me for everything
And I don't know how I'ma manage
If one day, you just up and leave

[Kanye West:]
And I always find, yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast

[Kanye West:]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can
"
9,The Sugarhill Gang,Rapper's Delight,Hiphop,http://azlyrics.com/lyrics/thesugarhillgang/rappersdelight.html,
