,artist,title,genre,URL,lyrics
0,The Beatles,A Day In The Life,Pop,http://azlyrics.com/lyrics/thebeatles/adayinthelife.html,
1,The Beach Boys,Good Vibrations (Mono),Pop,http://azlyrics.com/lyrics/thebeachboys/goodvibrations.html,
2,The Ronettes,Be My Baby,Pop,http://azlyrics.com/lyrics/theronettes/bemybaby.html,
3,Marvin Gaye,I Heard It Through The Grapevine,Pop,http://azlyrics.com/lyrics/marvingaye/ihearditthroughthegrapevine.html,"

I bet you're wonderin' how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I loved you more
It took me by surprise I must say
When I found out yesterday
Don't you know that I heard it through the grapevine
Not much longer would you be mine
Oh I heard it through the grapevine
Oh I'm just about to lose my mind

Honey, honey yeah.
I heard it through the grapevine
Not much longer would you be mine baby

I know a man ain't supposed to cry
But these tears I can't hold inside
Losin' you would end my life you see
'Cause you mean that much to me
You could have told me yourself
That you loved someone else
Instead I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind

Honey, honey yeah
I heard it through the grapevine
Not much longer would you be mine, baby

People say believe half of what you see
Some and none of what you hear
But I can't help but be confused
If it's true please tell me dear
Do you plan to let me go
For the other guy you loved before?

Don't you know I heard it through the grapevine
Not much longer would you be mine, baby yeah
I heard it through the grapevine
I'm just about to lose my mind
Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah

Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
"
4,Michael Jackson,Billie Jean,Pop,http://azlyrics.com/lyrics/michaeljackson/billiejean.html,"

She was more like a beauty queen
From a movie scene
I said, ""Don't mind, but what do you mean
I am the one
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round

She told me her name was Billie Jean
As she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round

People always told me, ""Be careful of what you do.
And don't go around breaking young girls' hearts.""
And mother always told me, ""A-be careful of who you love,
And be careful of what you do
'Cause the lie becomes the truth.""

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

For forty days and for forty nights
Law was on her side
But who can stand
When she's in demand
Her schemes and plans
'Cause we danced on the floor in the round
So take my strong advice
Just remember to always think twice
(Do think twice, do think twice.)

She told, ""My baby, we'd danced 'til three.""
Then she looked at me
Then showed a photo of a baby cry
His eyes looked like mine, oh, no
Do a dance on the floor in the round, baby

A-people always told me, ""Be careful of what you do
And don't go around breaking young girls' hearts.""
(Don't break no heart.)
A-but she came and stood right by me
And just the smell of sweet perfume
And this happened much too soon
And she called me to her room

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
(No, no, no, no, no, no, no, no.)
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

She says I am the one
But the kid is not my son

No, no, no

Billie Jean is not my lover
She's just a girl who claims that I am the one
(No, there's not me, baby.)
But the kid is not my son
(No, no, no, no, no, no, no.)
She says I am the one (No, babe.)
But the kid is not my son, no, no, no

She says I am the one
You know what you did
She says he is my son
Breaking my heart, babe
She says I am the one

Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
She is the one
Billie Jean is not my lover
She is the one
Don't call me Billie Jean
Billie Jean is not my lover
She is the one
She stumbled onto the scene
Billie Jean is not my lover
Billie Jean is not my lover
"
5,Bruce Springsteen,Born to Run,Pop,http://azlyrics.com/lyrics/brucespringsteen/borntorun.html,"

In the day, we sweat it out on the streets
Of a runaway American dream
At night, we ride through mansions of glory
In suicide machines
Sprung from cages out on Highway 9
Chrome wheeled, fuel injected and steppin' out over the line
Oh, baby this town rips the bones from your back
It's a death trap, it's a suicide rap
We gotta get out while we're young
'Cause tramps like us, baby we were born to run
Yes, girl, we were

Wendy let me in, I wanna be your friend
I want to guard your dreams and visions
Just wrap your legs 'round these velvet rims
And strap your hands across my engines
Together we could break this trap
We'll run till we drop, baby we'll never go back
Oh, will you walk with me out on the wire?
'Cause baby I'm just a scared and lonely rider
But I gotta know how it feels
I want to know if love is wild, babe
I want to know if love is real
Oh, can you show me?

Beyond the palace, hemi-powered drones
Scream down the boulevard
The girls comb their hair in rearview mirrors
And the boys try to look so hard
The amusement park rises bold and stark
Kids are huddled on the beach in a mist
I wanna die with you, Wendy, on the streets tonight
In an everlasting kiss

(1, 2, 3, 4) The highways jammed with broken heroes
On a last chance power drive
Everybody's out on the run tonight
But there's no place left to hide
Together, Wendy, we can live with the sadness
I'll love you with all the madness in my soul
Oh, someday girl, I don't know when
We're gonna get to that place
Where we really want to go, and we'll walk in the sun
But till then, tramps like us
Baby, we were born to run

Oh honey, tramps like us
Baby, we were born to run
Come on with me, tramps like us
Baby, we were born to run
"
6,The Beach Boys,God Only Knows,Pop,http://azlyrics.com/lyrics/thebeachboys/godonlyknows.html,
7,Outkast,Hey Ya!,Pop,http://azlyrics.com/lyrics/outkast/heyya.html,"

[André 3000:]
One, two, three, uh!

My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (C'mon)

Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!

You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Don't want to meet your daddy
Hey ya! (Uh-oh)
Just want you in my Caddy (Uh-oh)
Hey ya! (Uh-oh)
Don't want to meet your mama (Uh-oh)
Hey ya! (Uh-oh)
Just want to make you cum-a' (Uh-oh)
Hey ya! (Uh-oh)
I'm, I'm, I'm, I'm just being honest (Uh-oh)
Hey ya!
I'm just being honest

Hey, all right now, all right now, fellas (Yeah?)
Now, what's cooler than being cool? (Ice Cold!)
I can't hear ya
I say what's, what's cooler than being cool? (Ice Cold!)
All right, all right, all right, all right, all right, all right, all right, all right
All right, all right, all right, all right, all right, all right
Okay now, ladies (Yeah?)
Now, we gon' break this thing down in just a few seconds
Now, don't have me break this thing down for nothing
Now, I want to see y'all on your baddest behavior
Lend me some sugar, I am your neighbor
Ah, here we go!

Shake it, sh-shake it, shake it, sh-shake it (Uh-oh)
Shake it, sh-shake it, shake it, shake it, sh-shake it (Uh-oh)
Shake it like a Polaroid picture, hey ya!
Shake it, sh-shake it, shake it, sh-shake it
Shake it, shake it (Okay), shake it, sugar
Shake it like a Polaroid picture

Now, all the Beyoncés and Lucy Lius
And baby dolls, get on the floor
You know what to do, oh, you know what to do
You know what to do

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh, hey ya!)
Hey ya! (Uh-oh) Hey ya! (Oh, oh, uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! Hey ya!
"
8,The Beatles,Strawberry Fields Forever,Pop,http://azlyrics.com/lyrics/thebeatles/strawberryfieldsforever.html,
9,John Lennon,Imagine,Pop,http://azlyrics.com/lyrics/johnlennon/imagine.html,"

Imagine there's no heaven
It's easy if you try
No hell below us
Above us only sky
Imagine all the people
Living for today... Aha-ah...

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion, too
Imagine all the people
Living life in peace... You...

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man
Imagine all the people
Sharing all the world... You...

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will live as one
"
