,artist,title,genre,lyrics,URL
0,Aretha Franklin,Respect,RnB,"

What you want
Baby, I got it
What you need
Do you know I got it?

All I'm askin'
Is for a little respect
When you come home
(just a little bit)
Hey, baby
(just a little bit)
When you get home
(just a little bit)
Mister
(just a little bit)

I ain't gonna do you wrong
While you're gone
Ain't gonna do you wrong
'Cause I don't wanna

All I'm askin'
Is for a little respect
When you come home
(just a little bit)
Baby
(just a little bit)
When you get home
(just a little bit)
Yeah
(just a little bit)

I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my propers
When you get home

(just a, just a, just a, just a)
Yeah, baby
(just a, just a, just a, just a)
When you get home
(just a little bit)
Yeah
(just a little bit)

Ooh, your kisses
Sweeter than honey
And guess what?
So is my money

All I want you to do for me
Is give it to me when you get home
(re, re, re ,re)
Yeah, baby
(re, re, re ,re)
Whip it to me
(respect, just a little bit)
When you get home, now
(just a little bit)

R-E-S-P-E-C-T
Find out what it means to me
R-E-S-P-E-C-T
Take care, TCB

Oh (sock it to me, sock it to me
Sock it to me, sock it to me)
A little respect
(sock it to me, sock it to me, sock it to me, sock it to me)
Whoa, babe
(just a little bit)
A little respect
(just a little bit)

I get tired
(just a little bit)
Keep on tryin'
(just a little bit)
You're runnin' out of foolin'
(just a little bit)
And I ain't lyin'
(just a little bit)

(re, re, re, re) 'spect
When you come home
(re, re, re, re)
Or you might walk in
(respect, just a little bit)
And find out I'm gone
(just a little bit)
I got to have
(just a little bit)
",http://azlyrics.com/lyrics/arethafranklin/respect.html
1,Marvin Gaye,What's Going On,RnB,"

Hey, hey-hey
Hey, what's happenin'?
Hey, brother, what's happenin'?
Boy, this is a groovy party (Hey, how you doin'?)
Man, I can dig it
Yeah, brother, solid, right on
What's happenin'?
Hey, man, what's happening?
Woo
Everything is everything
We're gonna do a get down today, boy, I'll tell ya

Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some lovin' here today - yeah

Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some lovin' here today, oh (Oh)

Picket lines (Sister) and picket signs (Sister)
Don't punish me (Sister) with brutality (Sister)
Talk to me (Sister), so you can see (Sister)
Oh, what's going on (What's going on)
What's going on (What's going on)
Yeah, what's going on (What's going on)
Oh, what's going on

(In the meantime, right on, baby)
Woo (Right on, baby), woo
Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya
Woo (Right on, baby, right on)
Right on
Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya

Mother, mother, everybody thinks we're wrong
Oh, but who are they to judge us
Simply because our hair is long
Oh, you know we've got to find a way
To bring some understanding here today
Oh

Picket lines and picket signs
Don't punish me with brutality
Talk to me
So you can see
What's going on
Yeah, what's going on
Tell me what's going on
I'll tell you what's going on - uh
Right on baby
Right on baby
",http://azlyrics.com/lyrics/marvingaye/whatsgoingon.html
2,Marvin Gaye,I Heard It Through The Grapevine,RnB,"

I bet you're wonderin' how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I loved you more
It took me by surprise I must say
When I found out yesterday
Don't you know that I heard it through the grapevine
Not much longer would you be mine
Oh I heard it through the grapevine
Oh I'm just about to lose my mind

Honey, honey yeah.
I heard it through the grapevine
Not much longer would you be mine baby

I know a man ain't supposed to cry
But these tears I can't hold inside
Losin' you would end my life you see
'Cause you mean that much to me
You could have told me yourself
That you loved someone else
Instead I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind

Honey, honey yeah
I heard it through the grapevine
Not much longer would you be mine, baby

People say believe half of what you see
Some and none of what you hear
But I can't help but be confused
If it's true please tell me dear
Do you plan to let me go
For the other guy you loved before?

Don't you know I heard it through the grapevine
Not much longer would you be mine, baby yeah
I heard it through the grapevine
I'm just about to lose my mind
Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah

Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
",http://azlyrics.com/lyrics/marvingaye/ihearditthroughthegrapevine.html
3,Michael Jackson,Billie Jean,RnB,"

She was more like a beauty queen
From a movie scene
I said, ""Don't mind, but what do you mean
I am the one
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round

She told me her name was Billie Jean
As she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round

People always told me, ""Be careful of what you do.
And don't go around breaking young girls' hearts.""
And mother always told me, ""A-be careful of who you love,
And be careful of what you do
'Cause the lie becomes the truth.""

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

For forty days and for forty nights
Law was on her side
But who can stand
When she's in demand
Her schemes and plans
'Cause we danced on the floor in the round
So take my strong advice
Just remember to always think twice
(Do think twice, do think twice.)

She told, ""My baby, we'd danced 'til three.""
Then she looked at me
Then showed a photo of a baby cry
His eyes looked like mine, oh, no
Do a dance on the floor in the round, baby

A-people always told me, ""Be careful of what you do
And don't go around breaking young girls' hearts.""
(Don't break no heart.)
A-but she came and stood right by me
And just the smell of sweet perfume
And this happened much too soon
And she called me to her room

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
(No, no, no, no, no, no, no, no.)
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

She says I am the one
But the kid is not my son

No, no, no

Billie Jean is not my lover
She's just a girl who claims that I am the one
(No, there's not me, baby.)
But the kid is not my son
(No, no, no, no, no, no, no.)
She says I am the one (No, babe.)
But the kid is not my son, no, no, no

She says I am the one
You know what you did
She says he is my son
Breaking my heart, babe
She says I am the one

Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
She is the one
Billie Jean is not my lover
She is the one
Don't call me Billie Jean
Billie Jean is not my lover
She is the one
She stumbled onto the scene
Billie Jean is not my lover
Billie Jean is not my lover
",http://azlyrics.com/lyrics/michaeljackson/billiejean.html
4,Otis Redding,(Sittin' On) the Dock of the Bay,RnB,,http://azlyrics.com/lyrics/otisredding/thedockofthebay.html
5,Outkast,Hey Ya!,RnB,"

[André 3000:]
One, two, three, uh!

My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (C'mon)

Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!

You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Don't want to meet your daddy
Hey ya! (Uh-oh)
Just want you in my Caddy (Uh-oh)
Hey ya! (Uh-oh)
Don't want to meet your mama (Uh-oh)
Hey ya! (Uh-oh)
Just want to make you cum-a' (Uh-oh)
Hey ya! (Uh-oh)
I'm, I'm, I'm, I'm just being honest (Uh-oh)
Hey ya!
I'm just being honest

Hey, all right now, all right now, fellas (Yeah?)
Now, what's cooler than being cool? (Ice Cold!)
I can't hear ya
I say what's, what's cooler than being cool? (Ice Cold!)
All right, all right, all right, all right, all right, all right, all right, all right
All right, all right, all right, all right, all right, all right
Okay now, ladies (Yeah?)
Now, we gon' break this thing down in just a few seconds
Now, don't have me break this thing down for nothing
Now, I want to see y'all on your baddest behavior
Lend me some sugar, I am your neighbor
Ah, here we go!

Shake it, sh-shake it, shake it, sh-shake it (Uh-oh)
Shake it, sh-shake it, shake it, shake it, sh-shake it (Uh-oh)
Shake it like a Polaroid picture, hey ya!
Shake it, sh-shake it, shake it, sh-shake it
Shake it, shake it (Okay), shake it, sugar
Shake it like a Polaroid picture

Now, all the Beyoncés and Lucy Lius
And baby dolls, get on the floor
You know what to do, oh, you know what to do
You know what to do

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh, hey ya!)
Hey ya! (Uh-oh) Hey ya! (Oh, oh, uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! Hey ya!
",http://azlyrics.com/lyrics/outkast/heyya.html
6,Ray Charles,What'd I Say,RnB,,http://azlyrics.com/lyrics/raycharles/whatdisay.html
7,Sam Cooke,A Change Is Gonna Come,RnB,"

I was born by the river in a little tent
Oh, and just like the river I've been running ever since

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

It's been too hard living, but I'm afraid to die
'Cause I don't know what's up there beyond the sky

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

I go to the movie and I go downtown
Somebody keep telling me don't hang around

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

Then I go to my brother
And I say, ""Brother, help me please""
But he winds up knockin' me
Back down on my knees

There've been times that I thought I couldn't last for long
But now I think I'm able to carry on

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will
",http://azlyrics.com/lyrics/samcooke/achangeisgonnacome.html
8,Stevie Wonder,Superstition,RnB,"

Very superstitious, writings on the wall, 
Very superstitious, ladders 'bout to fall, 
Thirteen-months-old baby broke the lookin' glass 
Seven years of bad luck, the good things in your past

When you believe in things that you don't understand, 
Then you suffer, 
Superstition ain't the way 

Very superstitious, wash your face and hands, 
Rid me of the problem, do all that you can, 
Keep me in a daydream, keep me goin' strong, 
You don't wanna save me, sad is my song 

When you believe in things that you don't understand, 
Then you suffer, 
Superstition ain't the way, yeah, yeah 

Very superstitious, nothin' more to say, 
Very superstitious, the devil's on his way, 
Thirteen-months-old baby broke the lookin' glass, 
Seven years of bad luck, good things in your past 

When you believe in things that you don't understand, 
Then you suffer, superstition ain't the way, no, no, no
",http://azlyrics.com/lyrics/steviewonder/superstition.html
9,Beyoncé,Crazy In Love (feat. Jay-Z),RnB,,http://azlyrics.com/lyrics/beyonce/crazyinlove.html
