,artist,title,genre,URL,lyrics
0,Bob Dylan,Like a Rolling Stone,Rock,http://azlyrics.com/lyrics/bobdylan/likearollingstone.html,"

Once upon a time you dressed so fine
You threw the bums a dime in your prime, didn't you?
People'd call, say, ""Beware doll, you're bound to fall""
You thought they were all kiddin' you
You used to laugh about
Everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging for your next meal

How does it feel?
How does it feel
To be without a home
Like a complete unknown
Like a rolling stone?

You've gone to the finest school all right, Miss Lonely
But you know you only used to get juiced in it
And nobody's ever taught you how to live out on the street
And now you're gonna have to get used to it
You said you'd never compromise
With the mystery tramp, but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say do you want to make a deal?

How does it feel?
How does it feel
To be on your own
With no direction home
A complete unknown
Like a rolling stone?

You never turned around to see the frowns on the jugglers and the clowns
When they all did tricks for you
You never understood that it ain't no good
You shouldn't let other people get your kicks for you
You used to ride on the chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that
He really wasn't where it's at
After he took from you everything he could steal

How does it feel?
How does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?

Princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchanging all precious gifts
But you'd better take your diamond ring, you'd better pawn it babe
You used to be so amused
At Napoleon in rags and the language that he used
Go to him now, he calls you, you can't refuse
When you ain't got nothing, you got nothing to lose
You're invisible now, you got no secrets to conceal

How does it feel
How does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?
"
1,Nirvana,Smells Like Teen Spirit,Rock,http://azlyrics.com/lyrics/nirvana/smellsliketeenspirit.html,"

Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

Yeah, hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

Yeah, hey, yay

And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial
"
2,The Beatles,A Day In The Life,Rock,http://azlyrics.com/lyrics/beatles/adayinthelife.html,"

I read the news today, oh boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph

He blew his mind out in a car;
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords

I saw a film today, oh boy;
The English army had just won the war
A crowd of people turned away
But I just had to look
Having read the book

I'd love to turn you on

Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up, I noticed I was late

Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream

Ah I read the news today, oh boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall

I'd love to turn you on
"
3,Chuck Berry,Johnny B Goode,Rock,http://azlyrics.com/lyrics/chuckberry/johnnybgoode.html,"

Deep down in Louisiana close to New Orleans
Way back up in the woods among the evergreens
There stood a log cabin made of earth and wood
Where lived a country boy named Johnny B. Goode
Who never ever learned to read or write so well
But he could play a guitar just like a-ringing a bell

Go go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Johnny B. Goode!

He used to carry his guitar in a gunny sack
Go sit beneath the tree by the railroad track
Oh, the engineer would see him sittin' in the shade
Strummin' with the rhythm that the drivers made
The people passing by, they would stop and say
""Oh my, but that little country boy could play""

Go go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Johnny B. Goode!

His mother told him, ""Someday you will be a man,
And you will be the leader of a big ol' band
Many people comin' from miles around
To hear you play your music when the sun go down
Maybe someday your name'll be in lights
Sayin' 'Johnny B. Goode tonight!'""

Go go
Go Johnny go!
Go go go Johnny go!
Go go go Johnny go!
Go go go Johnny go!
Go
Johnny B. Goode!
"
4,The Rolling Stones,(I Can't Get No) Satisfaction,Rock,http://azlyrics.com/lyrics/rollingstones/satisfaction.html,
5,Elvis Presley,Heartbreak Hotel,Rock,http://azlyrics.com/lyrics/elvispresley/heartbreakhotel.html,"

Well, since my baby left me
Well, I found a new place to dwell
Well, it's down at the end of Lonely Street
At Heartbreak Hotel

Where I'll be, I'll be so lonely baby
Well, I'm so lonely
I'll be so lonely, I could die

Although it's always crowded
You still can find some room
For broken-hearted lovers
To cry there in their gloom

They'll be so, they'll be so lonely baby
They get so lonely
They're so lonely, they could die

Now, the bell hop's tears keep flowin'
And the desk clerk's dressed in black
Well, they've been so long on Lonely Street
They'll never, never look back

And they get so, they get so lonely baby
Well they are so lonely
They're so lonely, they could die

Well, now, if your baby leaves you
And you got a tale to tell
Well, just take a walk down Lonely Street
To Heartbreak Hotel

Where you will be, you will be so lonely baby
Well you will be lonely
You'll be so lonely, you could die

Although it's always crowded
But you still can find some room
For broken-hearted lovers to cry there in their gloom

Where they get so, they get so lonely baby
Well they're so lonely
They'll be so lonely, they could die
"
6,Bruce Springsteen,Born to Run,Rock,http://azlyrics.com/lyrics/brucespringsteen/borntorun.html,"

In the day, we sweat it out on the streets
Of a runaway American dream
At night, we ride through mansions of glory
In suicide machines
Sprung from cages out on Highway 9
Chrome wheeled, fuel injected and steppin' out over the line
Oh, baby this town rips the bones from your back
It's a death trap, it's a suicide rap
We gotta get out while we're young
'Cause tramps like us, baby we were born to run
Yes, girl, we were

Wendy let me in, I wanna be your friend
I want to guard your dreams and visions
Just wrap your legs 'round these velvet rims
And strap your hands across my engines
Together we could break this trap
We'll run till we drop, baby we'll never go back
Oh, will you walk with me out on the wire?
'Cause baby I'm just a scared and lonely rider
But I gotta know how it feels
I want to know if love is wild, babe
I want to know if love is real
Oh, can you show me?

Beyond the palace, hemi-powered drones
Scream down the boulevard
The girls comb their hair in rearview mirrors
And the boys try to look so hard
The amusement park rises bold and stark
Kids are huddled on the beach in a mist
I wanna die with you, Wendy, on the streets tonight
In an everlasting kiss

(1, 2, 3, 4) The highways jammed with broken heroes
On a last chance power drive
Everybody's out on the run tonight
But there's no place left to hide
Together, Wendy, we can live with the sadness
I'll love you with all the madness in my soul
Oh, someday girl, I don't know when
We're gonna get to that place
Where we really want to go, and we'll walk in the sun
But till then, tramps like us
Baby, we were born to run

Oh honey, tramps like us
Baby, we were born to run
Come on with me, tramps like us
Baby, we were born to run
"
7,The Who,My Generation,Rock,http://azlyrics.com/lyrics/who/mygeneration.html,"

[Roger Daltrey (Pete Townshend & John Entwistle)]
People try to put us d-down (Talkin' 'bout my generation)
Just because we get around (Talkin' 'bout my generation)
Things they do look awful c-c-cold (Talkin' 'bout my generation)
I hope I die before I get old (Talkin' 'bout my generation)
This is my generation
This is my generation, baby

Why don't you all f-fade away (Talkin' 'bout my generation)
And don't try to dig what we all s-s-say (Talkin' 'bout my generation)
I'm not trying to cause a big s-s-sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation)
This is my generation
This is my generation, baby

My, my, my generation

Why don't you all f-fade away (Talkin' 'bout my generation)
And don't try to d-dig what we all s-s-say (Talkin' 'bout my generation)
I'm not trying to cause a big sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my g-generation (Talkin' 'bout my generation)
This is my generation
This is my generation, baby

My, my, my generation
My, my, my generation

People try to put us d-down (Talkin' 'bout my generation)
Just because we g-g-get around (Talkin' 'bout my generation)
Things they do look awful c-c-cold (Talkin' 'bout my generation)
I hope I die before I get old (Talkin' 'bout my generation)
This is my generation
This is my generation, baby

My, my, my generation

[(Pete Townshend & John Entwistle) Roger Daltrey]
(Talkin' 'bout my generation)
(Talkin' 'bout my generation) My generation
(Talkin' 'bout my generation) My generation
(Talkin' 'bout my generation) This is my generation, baby
(Talkin' 'bout my generation) This is my generation
(Talkin' 'bout my generation) This is my generation
(Talkin' 'bout my generation) This is my generation
(Talkin' 'bout my generation) This is my generation
"
8,Joy Division,Love Will Tear Us Apart,Rock,http://azlyrics.com/lyrics/joydivision/lovewilltearusapart.html,"

When routine bites hard,
And ambitions are low,
And resentment rides high,
But emotions won't grow,
And we're changing our ways,
Taking different roads.

Then love, love will tear us apart again.
Love, love will tear us apart again.

Why is the bedroom so cold?
You've turned away on your side.
Is my timing that flawed?
Our respect runs so dry.
Yet there's still this appeal
That we've kept through our lives.

But love, love will tear us apart again.
Love, love will tear us apart again.

You cry out in your sleep,
All my failings exposed.
And there's a taste in my mouth,
As desperation takes hold.
Just that something so good
Just can't function no more.

But love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again.
"
9,Sex Pistols,Anarchy In The UK,Rock,http://azlyrics.com/lyrics/sexpistols/anarchyintheuk.html,"

Right now

I am an Antichrist
I am an anarchist
Don't know what I want but I know how to get it
I wanna destroy the passersby

'Cause I, I wanna be anarchy
No dogsbody

Anarchy for the U.K., it's coming sometime and maybe
I give a wrong time, stop a traffic line
Your future dream is a shopping scheme

'Cause I, I wanna be anarchy
In the city

How many ways to get what you want
I use the best, I use the rest
I use the N.M.E.
I use anarchy

'Cause I, I wanna be anarchy
It's the only way to be

Is this the M.P.L.A.?
Or is this the U.D.A.?
Or is this the I.R.A.?
I thought it was the U.K.
Or just another country
Another council tenancy

I wanna be anarchy
And I wanna be anarchy
Know what I mean?
And I wanna be anarchist
I get pissed, destroy
"
